2017-07-07 11:33:41	SET INTERVAL: 0:05:00
2017-07-07 11:33:41	START-STOP TIME: 08:30:00 - 18:00:00
2017-07-07 11:33:57	CAMERA SET OK
2017-07-07 11:34:04	SHOT: 1 ; TIME SHoT: 2017-07-07 11:33:57.911201
2017-07-07 11:34:04	sleep293
2017-07-07 11:39:35	SHOT: 2 ; TIME SHoT: 2017-07-07 11:38:57.911229
2017-07-07 11:39:35	sleep262
2017-07-07 11:44:34	SHOT: 3 ; TIME SHoT: 2017-07-07 11:43:57.911259
2017-07-07 11:44:34	sleep263
2017-07-07 11:49:34	SHOT: 4 ; TIME SHoT: 2017-07-07 11:48:57.911292
2017-07-07 11:49:34	sleep263
2017-07-07 11:54:34	SHOT: 5 ; TIME SHoT: 2017-07-07 11:53:57.915643
2017-07-07 11:54:34	sleep263
2017-07-07 11:59:34	SHOT: 6 ; TIME SHoT: 2017-07-07 11:58:57.915698
2017-07-07 11:59:34	sleep263
2017-07-07 12:04:34	SHOT: 7 ; TIME SHoT: 2017-07-07 12:03:57.915725
2017-07-07 12:04:34	sleep263
2017-07-07 12:09:34	SHOT: 8 ; TIME SHoT: 2017-07-07 12:08:57.915770
2017-07-07 12:09:34	sleep263
2017-07-07 12:14:34	SHOT: 9 ; TIME SHoT: 2017-07-07 12:13:57.960720
2017-07-07 12:14:34	sleep263
2017-07-07 12:19:34	SHOT: 10 ; TIME SHoT: 2017-07-07 12:18:57.960755
2017-07-07 12:19:34	sleep263
2017-07-07 12:24:34	SHOT: 11 ; TIME SHoT: 2017-07-07 12:23:58.056727
2017-07-07 12:24:34	sleep263
2017-07-07 12:29:34	SHOT: 12 ; TIME SHoT: 2017-07-07 12:28:58.056763
2017-07-07 12:29:34	sleep263
2017-07-07 12:34:34	SHOT: 13 ; TIME SHoT: 2017-07-07 12:33:58.056785
2017-07-07 12:34:34	sleep263
2017-07-07 12:39:34	SHOT: 14 ; TIME SHoT: 2017-07-07 12:38:58.056839
2017-07-07 12:39:34	sleep263
2017-07-07 12:44:35	SHOT: 15 ; TIME SHoT: 2017-07-07 12:43:58.056865
2017-07-07 12:44:35	sleep263
2017-07-07 12:49:35	SHOT: 16 ; TIME SHoT: 2017-07-07 12:48:58.137457
2017-07-07 12:49:35	sleep263
2017-07-07 12:54:35	SHOT: 17 ; TIME SHoT: 2017-07-07 12:53:58.236671
2017-07-07 12:54:35	sleep263
2017-07-07 12:59:35	SHOT: 18 ; TIME SHoT: 2017-07-07 12:58:58.236746
2017-07-07 12:59:35	sleep263
2017-07-07 13:04:35	SHOT: 19 ; TIME SHoT: 2017-07-07 13:03:58.236772
2017-07-07 13:04:35	sleep263
2017-07-07 13:09:35	SHOT: 20 ; TIME SHoT: 2017-07-07 13:08:58.236800
2017-07-07 13:09:35	sleep263
2017-07-07 13:14:35	SHOT: 21 ; TIME SHoT: 2017-07-07 13:13:58.245835
2017-07-07 13:14:35	sleep262
2017-07-07 13:19:35	SHOT: 22 ; TIME SHoT: 2017-07-07 13:18:58.245857
2017-07-07 13:19:35	sleep262
2017-07-07 13:24:35	SHOT: 23 ; TIME SHoT: 2017-07-07 13:23:58.245887
2017-07-07 13:24:35	sleep262
2017-07-07 13:29:35	SHOT: 24 ; TIME SHoT: 2017-07-07 13:28:58.245926
2017-07-07 13:29:35	sleep263
2017-07-07 13:34:35	SHOT: 25 ; TIME SHoT: 2017-07-07 13:33:58.325736
2017-07-07 13:34:35	sleep263
2017-07-07 13:39:35	SHOT: 26 ; TIME SHoT: 2017-07-07 13:38:58.325804
2017-07-07 13:39:35	sleep263
2017-07-07 13:44:35	SHOT: 27 ; TIME SHoT: 2017-07-07 13:43:58.325858
2017-07-07 13:44:35	sleep263
2017-07-07 13:49:35	SHOT: 28 ; TIME SHoT: 2017-07-07 13:48:58.325896
2017-07-07 13:49:35	sleep263
2017-07-07 13:54:35	SHOT: 29 ; TIME SHoT: 2017-07-07 13:53:58.325971
2017-07-07 13:54:35	sleep263
2017-07-07 13:59:35	SHOT: 30 ; TIME SHoT: 2017-07-07 13:58:58.326022
2017-07-07 13:59:35	sleep263
2017-07-07 14:04:35	SHOT: 31 ; TIME SHoT: 2017-07-07 14:03:58.326069
2017-07-07 14:04:35	sleep263
2017-07-07 14:09:35	SHOT: 32 ; TIME SHoT: 2017-07-07 14:08:58.326141
2017-07-07 14:09:35	sleep263
2017-07-07 14:14:35	SHOT: 33 ; TIME SHoT: 2017-07-07 14:13:58.326192
2017-07-07 14:14:35	sleep263
2017-07-07 14:19:35	SHOT: 34 ; TIME SHoT: 2017-07-07 14:18:58.326245
2017-07-07 14:19:35	sleep263
2017-07-07 14:24:35	SHOT: 35 ; TIME SHoT: 2017-07-07 14:23:58.326290
2017-07-07 14:24:35	sleep263
2017-07-07 14:29:35	SHOT: 36 ; TIME SHoT: 2017-07-07 14:28:58.426185
2017-07-07 14:29:35	sleep263
2017-07-07 14:34:35	SHOT: 37 ; TIME SHoT: 2017-07-07 14:33:58.426219
2017-07-07 14:34:35	sleep263
2017-07-07 14:39:35	SHOT: 38 ; TIME SHoT: 2017-07-07 14:38:58.426248
2017-07-07 14:39:35	sleep263
2017-07-07 14:44:35	SHOT: 39 ; TIME SHoT: 2017-07-07 14:43:58.426272
2017-07-07 14:44:35	sleep263
